Layer,ScenarioId,Actor,Action,Expected,Observed,Result,Note
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/workflows عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=4985,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/workflows عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=4985,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1055,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1055,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1055,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/employee/me عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=3576,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/employee/me عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=3576,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/employee/me عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=3576,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/my-reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2120,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/my-reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2120,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/my-reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2120,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/my-kpi عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=555,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/my-kpi عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=555,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/my-kpi عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=555,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/governance-workspace عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1048,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/governance-workspace عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1048,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/governance-workspace عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1048,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/job-roles عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=713,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/job-roles عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=713,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/job-roles عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=713,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/hr-requests عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=871,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/hr-requests عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=871,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/hr-requests عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=871,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/hr-employees عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=4950,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/hr-employees عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=4950,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/hr-employees عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=4950,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/leave-requests عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=767,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/leave-requests عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=767,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/leave-requests عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=767,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/balance-management عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2672,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/balance-management عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2672,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/balance-management عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2672,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/compliance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1473,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/compliance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1473,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,hr,تحميل /app/compliance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1473,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2338,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2338,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2338,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/employee/me عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=3571,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/employee/me عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=3571,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/employee/me عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=3571,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/my-reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2183,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/my-reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2183,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/my-reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2183,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/performance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1483,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/performance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1483,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/performance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1483,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/governance-workspace عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1021,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/governance-workspace عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1021,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/governance-workspace عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1021,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/clients عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=715,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/clients عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=715,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/clients عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=715,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1122,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1122,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1122,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/compliance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1573,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/compliance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1573,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/compliance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1573,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/workflows عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1120,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/workflows عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1120,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/workflows عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1120,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/submissions عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1263,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/submissions عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1263,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrA,تحميل /app/submissions عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1263,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1856,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1856,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1856,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/employee/me عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=3567,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/employee/me عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=3567,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/employee/me عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=3567,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/my-reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2181,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/my-reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2181,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/my-reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2181,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/performance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1353,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/performance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1353,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/performance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1353,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/governance-workspace عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=894,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/governance-workspace عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=894,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/governance-workspace عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=894,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/clients عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=713,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/clients عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=713,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/clients عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=713,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=740,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=740,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=740,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/compliance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1536,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/compliance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1536,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/compliance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1536,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/submissions عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1095,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/submissions عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1095,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,mgrB,تحميل /app/submissions عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1095,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2125,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2125,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2125,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/employee/me عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=3608,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/employee/me عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=3608,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/employee/me عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=3608,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/my-reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2198,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/my-reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2198,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/my-reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2198,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/performance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1412,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/performance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1412,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/performance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1412,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/governance-workspace عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=936,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/governance-workspace عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=936,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/governance-workspace عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=936,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/clients عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=705,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/clients عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=705,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/clients عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=705,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/submissions عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1358,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/submissions عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1358,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/submissions عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1358,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/compliance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1560,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/compliance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1560,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/compliance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1560,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/workflows عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=960,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/workflows عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=960,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/workflows عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=960,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/governance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2125,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/governance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2125,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA1,تحميل /app/governance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2125,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1899,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1899,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1899,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/employee/me عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=3605,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/employee/me عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=3605,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/employee/me عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=3605,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/my-reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2195,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/my-reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2195,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/my-reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2195,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/performance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1409,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/performance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1409,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/performance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1409,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/governance-workspace عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=851,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/governance-workspace عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=851,PASS,
